EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-08-2026
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : maximum temperature in 0.1 &#176;C
30-34 Q_TX : Quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 111450) of GERMANY, BERLIN-TEMPELHOF (STAID: 2759)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TX, Q_TX
  2759,111450,20151101,  156,    0
  2759,111450,20151102,  154,    0
  2759,111450,20151103,  117,    0
  2759,111450,20151104,   89,    0
  2759,111450,20151105,  143,    0
  2759,111450,20151106,  155,    0
  2759,111450,20151107,  176,    0
  2759,111450,20151108,  176,    0
  2759,111450,20151109,  177,    0
  2759,111450,20151110,  156,    0
  2759,111450,20151111,  149,    0
  2759,111450,20151112,  145,    0
  2759,111450,20151113,  140,    0
  2759,111450,20151114,   94,    0
  2759,111450,20151115,  133,    0
  2759,111450,20151116,  124,    0
  2759,111450,20151117,  138,    0
  2759,111450,20151118,  139,    0
  2759,111450,20151119,  135,    0
  2759,111450,20151120,   99,    0
  2759,111450,20151121,   64,    0
  2759,111450,20151122,   38,    0
  2759,111450,20151123,   27,    0
  2759,111450,20151124,   35,    0
  2759,111450,20151125,   44,    0
  2759,111450,20151126,   62,    0
  2759,111450,20151127,   56,    0
  2759,111450,20151128,   45,    0
  2759,111450,20151129,   95,    0
  2759,111450,20151130,   88,    0
  2759,111450,20151201,   75,    0
  2759,111450,20151202,  112,    0
  2759,111450,20151203,  120,    0
  2759,111450,20151204,   95,    0
  2759,111450,20151205,   85,    0
  2759,111450,20151206,  108,    0
  2759,111450,20151207,  119,    0
  2759,111450,20151208,  119,    0
  2759,111450,20151209,   93,    0
  2759,111450,20151210,   63,    0
  2759,111450,20151211,   62,    0
  2759,111450,20151212,   73,    0
  2759,111450,20151213,  102,    0
  2759,111450,20151214,   33,    0
  2759,111450,20151215,   73,    0
  2759,111450,20151216,   78,    0
  2759,111450,20151217,  124,    0
  2759,111450,20151218,  123,    0
  2759,111450,20151219,  122,    0
  2759,111450,20151220,  131,    0
  2759,111450,20151221,  107,    0
  2759,111450,20151222,  134,    0
  2759,111450,20151223,  137,    0
  2759,111450,20151224,  107,    0
  2759,111450,20151225,  113,    0
  2759,111450,20151226,  151,    0
  2759,111450,20151227,  122,    0
  2759,111450,20151228,  123,    0
  2759,111450,20151229,   63,    0
  2759,111450,20151230,   27,    0
  2759,111450,20151231,   30,    0
  2759,111450,20160101,   27,    0
  2759,111450,20160102,   13,    0
  2759,111450,20160103,  -77,    0
  2759,111450,20160104,  -66,    0
  2759,111450,20160105,  -70,    0
  2759,111450,20160106,  -70,    0
  2759,111450,20160107,  -16,    0
